==========Schedule parameters==========
{'device': 'GPU', 'CUDA_VISIBLE_DEVICES': '0', 'GPU_num': 1, 'benign_training': False, 'batch_size': 128, 'num_workers': 8, 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'gamma': 0.1, 'schedule': [100, 130], 'epochs': 150, 'log_iteration_interval': 100, 'test_epoch_interval': 10, 'save_epoch_interval': 20, 'save_dir': './attack/CIFAR10/ResNet18/BadNets', 'experiment_name': 'Normalize_ResNet18_CIFAR10_BadNets'}
==========Use GPUs to train==========
CUDA_VISIBLE_DEVICES=0
CUDA_SELECTED_DEVICES=0
Total train samples: 50000
Total test samples: 10000
Batch size: 128
iteration every epoch: 390
Initial learning rate: 0.1
[2026-04-22_18:21:27] Epoch:17/150, iteration:244/390, lr: 0.10000000149011612, loss: 0.4285062551498413, time: 11.78157114982605
[2026-04-22_18:21:39] Epoch:17/150, iteration:344/390, lr: 0.10000000149011612, loss: 0.39289724826812744, time: 11.799609184265137
[2026-04-22_18:21:51] Epoch:18/150, iteration:53/390, lr: 0.10000000149011612, loss: 0.1899009495973587, time: 12.039416074752808
[2026-04-22_18:22:03] Epoch:18/150, iteration:153/390, lr: 0.10000000149011612, loss: 0.21849015355110168, time: 11.78053879737854
[2026-04-22_18:22:15] Epoch:18/150, iteration:253/390, lr: 0.10000000149011612, loss: 0.2596515417098999, time: 11.757326602935791
[2026-04-22_18:22:26] Epoch:18/150, iteration:353/390, lr: 0.10000000149011612, loss: 0.4553299844264984, time: 11.755001544952393
[2026-04-22_18:22:38] Epoch:19/150, iteration:62/390, lr: 0.10000000149011612, loss: 0.2677667737007141, time: 11.929123640060425
[2026-04-22_18:22:50] Epoch:19/150, iteration:162/390, lr: 0.10000000149011612, loss: 0.23496147990226746, time: 11.732113599777222
[2026-04-22_18:23:02] Epoch:19/150, iteration:262/390, lr: 0.10000000149011612, loss: 0.33132731914520264, time: 11.743537664413452
[2026-04-22_18:23:13] Epoch:19/150, iteration:362/390, lr: 0.10000000149011612, loss: 0.4075584411621094, time: 11.748265981674194
[2026-04-22_18:23:25] Epoch:20/150, iteration:71/390, lr: 0.10000000149011612, loss: 0.32297641038894653, time: 11.889527320861816
[2026-04-22_18:23:37] Epoch:20/150, iteration:171/390, lr: 0.10000000149011612, loss: 0.22040635347366333, time: 11.737321376800537
[2026-04-22_18:23:49] Epoch:20/150, iteration:271/390, lr: 0.10000000149011612, loss: 0.3641918897628784, time: 11.726619958877563
[2026-04-22_18:24:01] Epoch:20/150, iteration:371/390, lr: 0.10000000149011612, loss: 0.23202776908874512, time: 11.740607500076294
==========Test result on benign test dataset==========
[2026-04-22_18:24:06] Top-1 correct / Total: 8224/10000, Top-1 accuracy: 0.8224, Top-5 correct / Total: 9904/10000, Top-5 accuracy: 0.9904, mean loss: 0.5413496494293213, time: 5.066391468048096
==========Test result on poisoned test dataset==========
[2026-04-22_18:24:08] Top-1 correct / Total: 10000/10000, Top-1 accuracy: 1.0, Top-5 correct / Total: 10000/10000, Top-5 accuracy: 1.0, mean loss: 3.3356832318531815e-07, time: 7.823666095733643
[2026-04-22_18:24:18] Epoch:21/150, iteration:80/390, lr: 0.10000000149011612, loss: 0.16182735562324524, time: 17.463897228240967
[2026-04-22_18:24:30] Epoch:21/150, iteration:180/390, lr: 0.10000000149011612, loss: 0.2454880177974701, time: 11.755204439163208
[2026-04-22_18:24:42] Epoch:21/150, iteration:280/390, lr: 0.10000000149011612, loss: 0.16622933745384216, time: 11.765369415283203
[2026-04-22_18:24:53] Epoch:21/150, iteration:380/390, lr: 0.10000000149011612, loss: 0.35600078105926514, time: 11.77603793144226
[2026-04-22_18:25:05] Epoch:22/150, iteration:89/390, lr: 0.10000000149011612, loss: 0.23464477062225342, time: 12.016279458999634
[2026-04-22_18:25:17] Epoch:22/150, iteration:189/390, lr: 0.10000000149011612, loss: 0.23912623524665833, time: 11.776278257369995
[2026-04-22_18:25:29] Epoch:22/150, iteration:289/390, lr: 0.10000000149011612, loss: 0.27446988224983215, time: 11.778801202774048
[2026-04-22_18:25:41] Epoch:22/150, iteration:389/390, lr: 0.10000000149011612, loss: 0.39312654733657837, time: 11.771064043045044
[2026-04-22_18:25:53] Epoch:23/150, iteration:98/390, lr: 0.10000000149011612, loss: 0.3334309458732605, time: 12.004507064819336
